name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Trausti Valdimarsson	M	55	00:33:37	00:04:54	02:51:56	00:02:55	01:42:10	05:15:32	2014	Ironman 70.3 Mallorca 2014
Asdis Kristjansdottir	F	45	00:33:22	00:05:16	02:55:30	00:03:12	01:43:27	05:20:47	2014	Ironman 70.3 Mallorca 2014
Olof Petursdottir	F	30				03:39:06	01:51:03	05:30:09	2014	Ironman 70.3 Mallorca 2014
Erlendur Birgisson	M	55	00:36:05	00:06:10	02:57:04	00:04:57	01:59:35	05:43:51	2014	Ironman 70.3 Mallorca 2014
Benedikt Olafsson	M	45	00:34:16	00:07:27	03:15:48	00:04:55	02:14:19	06:16:45	2014	Ironman 70.3 Mallorca 2014
Runar Orn Agustsson	M	25	00:29:35	00:03:46	02:17:49	00:02:04	01:19:11	04:12:25	2014	Ironman 70.3 Kronborg 2014
Jon Gudmundsson	M	40	00:32:49	00:03:55	02:39:46	00:03:02	01:30:35	04:50:07	2014	Ironman 70.3 Kronborg 2014
Johannes Gunnarsson	M	35	00:27:10	00:05:08	03:03:40	00:04:10	01:50:16	05:30:24	2014	Ironman 70.3 Kronborg 2014
Rafnar Sigurbjornsson	M	30	00:40:14	00:08:37	02:41:34	00:05:38	01:55:53	05:31:56	2014	Ironman 70.3 Kronborg 2014
Helgi Snaebjornsson	M	35	00:38:15	00:06:32	03:07:18	00:06:23	02:12:20	06:10:48	2014	Ironman 70.3 Kronborg 2014
Runar Orn Agustsson	M	25	00:29:35	00:03:46	02:17:49	00:02:04	01:19:11	04:12:25	2014	Ironman 70.3 Elsinore 2014
Jon Gudmundsson	M	40	00:32:49	00:03:55	02:39:46	00:03:02	01:30:35	04:50:07	2014	Ironman 70.3 Elsinore 2014
Johannes Gunnarsson	M	35	00:27:10	00:05:08	03:03:40	00:04:10	01:50:16	05:30:24	2014	Ironman 70.3 Elsinore 2014
Rafnar Sigurbjornsson	M	30	00:40:14	00:08:37	02:41:34	00:05:38	01:55:53	05:31:56	2014	Ironman 70.3 Elsinore 2014
Helgi Snaebjornsson	M	35	00:38:15	00:06:32	03:07:18	00:06:23	02:12:20	06:10:48	2014	Ironman 70.3 Elsinore 2014
Rafnkell Jonsson	M	50	00:37:27	00:04:27	02:44:42	00:02:54	01:43:57	05:13:27	2014	Ironman 70.3 Aarhus 2014
Helgi Snaebjornsson	M	35	00:41:38	00:06:27	03:20:33	00:03:32	02:12:52	06:25:02	2014	Ironman 70.3 Aarhus 2014
Gudmundur Ingi Gudmundsson	M	50	00:42:56	00:07:37	03:40:40	00:03:49	02:24:09	06:59:11	2014	Ironman 70.3 Aarhus 2014
Gudmundur Kristjansson	M	40	00:35:39	00:03:50	02:42:12	00:03:10	01:57:04	05:21:55	2014	Ironman 70.3 Haugesund 2014
Jon Sen	M	45	00:43:19	00:07:57	03:21:02	00:05:42	01:58:44	06:16:44	2014	Ironman 70.3 Haugesund 2014
itay melamed	M	35	00:38:14	00:03:00	02:49:04	00:03:28	01:52:38	05:26:24	2014	Ironman 70.3 Boulder 2014
Thury Gudmundsdottir	F	50	00:42:23	00:04:58	02:56:51	00:03:27	01:40:48	05:28:27	2014	Ironman 70.3 Boise 2014
Kari Hallgrimsson	M	35	00:34:32	00:03:41	03:09:43	00:01:53	01:39:04	05:28:53	2014	Ironman 70.3 European Championship 2014
Pall Olafsson	M	35	00:38:15	00:03:43	03:08:52	00:01:38	01:40:04	05:32:32	2014	Ironman 70.3 European Championship 2014
Gardar Gislason	M	55	00:39:43	00:05:49	02:42:48	00:03:56	02:02:31	05:34:47	2014	Ironman 70.3 Muncie 2014
Jon Gudnason	M	35	00:40:46	00:03:59	02:49:14	00:02:43	01:58:52	05:35:34	2014	Ironman 70.3 Luxembourg-Region Moselle 2014
Bertel Arnfinnsson	M	35	00:40:05	00:03:30	03:16:59	00:02:16	01:34:52	05:37:42	2014	Ironman 70.3 Luxembourg-Region Moselle 2014
Ketill Helgason	M	50		00:43:12	02:46:22	00:02:48	02:10:05	05:42:27	2014	Ironman 70.3 Timberman 2014
Sharon Shachar	F	40	00:44:43	00:04:58	02:55:01	00:02:26	01:57:22	05:44:30	2014	Ironman 70.3 Racine 2014
Taiwan Triathlete	M	30	00:35:35	00:04:15	02:46:39	00:04:04	02:32:52	06:03:25	2014	Ironman 70.3 Taiwan 2014
Kristin Ketilsdottir	F	25	00:22:36	00:05:06	03:06:42	00:03:54	02:33:36	06:11:54	2014	Ironman 70.3 Taiwan 2014
Gudrun Sigursteinsdottir	F	35		00:00:00		00:00:00			2015	Ironman 70.3 New Orleans 2015
Kari Hallgrimsson	M	35							2015	Ironman 70.3 Mallorca 2015
Helga Helgadottir	F	25		00:00:00		00:00:00			2015	Ironman 70.3 Aarhus 2015
Pall Olafsson	M	35	00:36:00	00:03:44	02:40:08	00:02:44	01:34:44	04:57:20	2015	Ironman 70.3 Zell am See-Kaprun 2015
Kari Hallgrimsson	M	35	00:34:51	00:04:07	02:52:08	00:04:01	01:39:06	05:14:13	2015	Ironman 70.3 Zell am See-Kaprun 2015
Gudmundur Kristjansson	M	40	00:35:39	00:03:52	02:34:12	00:03:35	01:50:19	05:07:37	2015	Ironman 70.3 Haugesund 2015
Arnor Jonsson	M	35	00:36:34	00:04:32	02:37:58	00:03:52	01:53:32	05:16:28	2015	Ironman 70.3 Haugesund 2015
Sara Ogmundsdottir	F	35	00:38:38	00:03:42	03:11:31	00:03:12	02:12:25	06:09:28	2015	Ironman 70.3 Haugesund 2015
Hjordis Olafsdottir	F	30	00:34:06	00:03:29	02:45:18	00:01:38	01:52:01	05:16:32	2015	Ironman 70.3 Sunshine Coast 2015
Darragh Manning	M	40	00:48:30	00:05:28	02:44:45	00:02:43	02:18:20	05:59:46	2015	Ironman 70.3 Dublin 2015
Maria Johanna Van Dijk	F	40	00:34:47	00:09:54	04:10:58	00:07:12	02:39:52	07:42:43	2015	Ironman 70.3 European Championship Wiesbaden 2015
Gudrun Sigursteinsdottir	F	35		00:00:00		00:01:35	01:48:45		2016	Ironman 70.3 Racine 2016
Gudrun Sigursteinsdottir	F	35	00:43:19	00:05:36	02:49:50	00:03:01			2016	Ironman 70.3 Hawaii 2016
Guicharnaud Rannveig AnnaÂ	F	40			03:01:31	00:04:22	01:53:06	04:58:59	2016	Ironman 70.3 Aix-en-Provence 2016
Stephen Bustos	M	50	00:41:32	00:07:08	02:39:27	00:02:26	01:36:17	05:06:50	2016	Ironman 70.3 Kronborg 2016
Haraldur Juliusson	M	50	00:51:45	00:11:38	02:46:35	00:04:53	01:52:46	05:47:37	2016	Ironman 70.3 Kronborg 2016
Stephen Bustos	M	50	00:41:32	00:07:08	02:39:27	00:02:26	01:36:17	05:06:50	2016	Ironman 70.3 Elsinore 2016
Haraldur Juliusson	M	50	00:51:45	00:11:38	02:46:35	00:04:53	01:52:46	05:47:37	2016	Ironman 70.3 Elsinore 2016
Kari Hallgrimsson	M	35	00:36:58	00:04:15	02:58:23	00:03:25	01:34:01	05:17:02	2016	Ironman 70.3 Mallorca 2016
Gudrun Hoskuldsdottir	F	30	00:35:35	00:06:58	03:22:38	00:03:25	01:59:36	06:08:12	2016	Ironman 70.3 Mallorca 2016
Johannes Gunnarsson	M	35	00:28:06	00:05:30	02:53:57	00:03:08	01:49:00	05:19:41	2016	Ironman 70.3 Jönköping 2016
Illugi Ljotsson	M	40	00:39:07	00:08:10	02:43:56	00:04:40	02:17:47	05:53:40	2016	Ironman 70.3 Jönköping 2016
Karl Jonsson	M	45		00:00:00	03:09:44	00:04:26	02:28:11	05:42:21	2016	Ironman 70.3 Austin 2016
Gardar Gislason	M	55	00:45:03	00:05:34	02:48:45	00:05:10	02:06:39	05:51:11	2016	Ironman 70.3 Muncie 2016
Tuvia Kestenboim	M	55	00:56:35	00:05:47	02:50:51	00:10:21	02:44:16	06:47:50	2016	Ironman 70.3 Miami 2016
Anna Jona Kjartansdottir	F	30	00:46:51	00:04:41	03:30:21	00:04:09	03:10:06	07:36:08	2016	Ironman 70.3 Florida 2016
Kari Hallgrimsson	M	40							2017	Ironman 70.3 Mallorca 2017
Gudrun Hoskuldsdottir	F	35	00:34:48	00:06:00					2017	Ironman 70.3 Mallorca 2017
Gudmundur Bjornsson	M	40	00:32:55	00:04:21	03:13:54	00:03:43	01:53:35	05:48:28	2017	Ironman 70.3 Mallorca 2017
Haraldur Thordarson	M	35	00:35:02	00:04:22	03:20:07	00:06:48	02:20:05	06:26:24	2017	Ironman 70.3 Mallorca 2017
Ingi Poulsen	M	35	00:41:43	00:09:13	03:54:06	00:13:39	02:59:27	07:58:08	2017	Ironman 70.3 Mallorca 2017
Ãsa Magnusdottir	F	50							2017	Ironman 70.3 Elsinore 2017
